"sector","product","marketingYear","month","partner","Einheit","Wert"
"Milk And Milk Products","Fresh milk","2014",2,"Switzerland","euroValue",4424
"Milk And Milk Products","Fresh milk","2014",2,"Switzerland","tons",1.394
"Milk And Milk Products","Fresh milk","2014",3,"Switzerland","euroValue",6176
"Milk And Milk Products","Fresh milk","2014",3,"Switzerland","tons",1.528
"Milk And Milk Products","Fresh milk","2014",4,"Switzerland","euroValue",7301
"Milk And Milk Products","Fresh milk","2014",4,"Switzerland","tons",1.439
"Milk And Milk Products","Fresh milk","2014",5,"Switzerland","euroValue",5909
"Milk And Milk Products","Fresh milk","2014",5,"Switzerland","tons",1.683
"Milk And Milk Products","Fresh milk","2014",6,"Switzerland","euroValue",4101
"Milk And Milk Products","Fresh milk","2014",6,"Switzerland","tons",1.026
"Milk And Milk Products","Fresh milk","2014",7,"Switzerland","euroValue",4292
"Milk And Milk Products","Fresh milk","2014",7,"Switzerland","tons",1.364
"Milk And Milk Products","Fresh milk","2014",8,"Switzerland","euroValue",7212
"Milk And Milk Products","Fresh milk","2014",8,"Switzerland","tons",1.277
"Milk And Milk Products","Fresh milk","2014",9,"Switzerland","euroValue",895
"Milk And Milk Products","Fresh milk","2014",9,"Switzerland","tons",0.4
"Milk And Milk Products","Fresh milk","2014",10,"Switzerland","euroValue",438
"Milk And Milk Products","Fresh milk","2014",10,"Switzerland","tons",0.658
"Milk And Milk Products","Fresh milk","2014",11,"Switzerland","euroValue",900
"Milk And Milk Products","Fresh milk","2014",11,"Switzerland","tons",0.723
"Milk And Milk Products","Fresh milk","2014",12,"Switzerland","euroValue",753
"Milk And Milk Products","Fresh milk","2014",12,"Switzerland","tons",0.894
"Milk And Milk Products","Fresh milk","2015",1,"Switzerland","euroValue",854
"Milk And Milk Products","Fresh milk","2015",1,"Switzerland","tons",0.833
"Milk And Milk Products","Fresh milk","2015",2,"Switzerland","euroValue",905
"Milk And Milk Products","Fresh milk","2015",2,"Switzerland","tons",1.237
"Milk And Milk Products","Fresh milk","2015",3,"Switzerland","euroValue",2303
"Milk And Milk Products","Fresh milk","2015",3,"Switzerland","tons",1.439
"Milk And Milk Products","Fresh milk","2015",4,"Switzerland","euroValue",1809
"Milk And Milk Products","Fresh milk","2015",4,"Switzerland","tons",1.466
"Milk And Milk Products","Fresh milk","2015",5,"Switzerland","euroValue",3122
"Milk And Milk Products","Fresh milk","2015",5,"Switzerland","tons",2.193
"Milk And Milk Products","Fresh milk","2015",6,"Switzerland","euroValue",755
"Milk And Milk Products","Fresh milk","2015",6,"Switzerland","tons",0.747
"Milk And Milk Products","Fresh milk","2015",7,"Switzerland","euroValue",933
"Milk And Milk Products","Fresh milk","2015",7,"Switzerland","tons",0.916
"Milk And Milk Products","Fresh milk","2015",8,"Switzerland","euroValue",767
